dataset_version,feature_schema_version,extraction_artifact_version,label_schema_version,label_source,weak_target_score,expert_target_score,query,category,intent,city,region_code,url,domain,rank,serp_page,title,snippet,page_type,fetch_status,fetch_error,artifact_path,artifact_sha1,artifact_size_bytes,target_score,text_length_chars,html_length_chars,word_count,unique_word_count,unique_word_ratio,avg_word_length,sentence_count,avg_sentence_length,paragraph_count,h1_count,h2_count,h3_count,heading_count,title_present,title_length,meta_description_present,meta_description_length,query_in_title,query_in_text,exact_query_count,query_term_count,title_query_term_count,meta_query_term_count,title_keyword_coverage_ratio,meta_keyword_coverage_ratio,query_terms_in_headings,heading_query_coverage_ratio,first_200_words_query_term_count,query_density,keyword_coverage_ratio,link_count,image_count,list_item_count,strong_tag_count,form_count,input_count,inputs_per_form_ratio,avg_paragraph_length,link_density_per_1000_words,image_density_per_1000_words,list_density_per_1000_words,strong_density_per_1000_words,text_to_html_ratio,semantic_similarity,early_query_coverage_ratio,conversion_signal_score,content_link_ratio,heading_paragraph_balance,query_semantic_alignment,title_semantic_alignment,heading_semantic_alignment,title_heading_keyword_alignment,content_depth_semantic_score,query_prominence_score,title_length_quality,meta_length_quality,keyword_balance_score,semantic_content_richness,cta_semantic_score,http_status_code,http_status_ok,redirect_count,has_redirect,canonical_present,canonical_matches_final_url,meta_robots_present,x_robots_tag_present,robots_noindex,robots_nofollow,page_indexable,viewport_present,lang_present,hreflang_count,hreflang_present,url_depth,url_parameter_count,url_has_query_parameters,redirect_efficiency_score,url_hygiene_score,technical_metadata_score,canonical_signal_score,technical_seo_score,phone_present,phone_count,email_present,address_present,business_hours_present,price_present,currency_present,delivery_info_present,payment_info_present,warranty_info_present,returns_info_present,reviews_present,rating_present,faq_present,cta_present,cta_count,messenger_present,value_proposition_present,legal_requisites_present,company_identity_present,contact_options_score,commercial_signal_count,trust_signal_count,commercial_signals_score,trust_signals_score,commercial_trust_score,heavy_analysis_available,heavy_analysis_overall_score,structured_data_json_ld_count,structured_data_valid_json_ld_count,structured_data_malformed_json_ld_count,structured_data_schema_type_count,structured_data_business_schema_present,structured_data_offer_schema_present,structured_data_faq_schema_present,structured_data_breadcrumb_schema_present,structured_data_score,mobile_viewport_present,mobile_readiness_score,rendering_browser_fetch_used,rendering_js_dependency_risk,rendering_text_html_ratio,rendering_score,performance_html_size_kb,performance_dom_node_count,performance_script_count,performance_stylesheet_count,performance_image_count,performance_response_time_ms,performance_resource_complexity_score,performance_proxy_score,intent_is_commercial,intent_is_local_commercial,intent_is_informational,intent_is_navigational,intent_confidence,query_local_modifier,commercial_intent_score,local_intent_score,informational_intent_score,navigational_intent_score,commercial_intent_alignment,local_intent_alignment,informational_intent_alignment,navigational_intent_alignment,intent_alignment_score,feature_policy_version
dataset-v5,v3,extraction-v2,ranking-aware-v5,seo_weighted_page_quality_v5,84.2105,78.0,пластиковые окна цена Новосибирск,пластиковые окна,commercial,Новосибирск,65,https://r-okna.com/,r-okna.com,4,0,,,homepage,ok,,..\dataset-v2\artifacts\query--779e28e5cb52d17f.json,2d24a829bff30893bc3e26c415c505db3c1f4548,937007,78.0,9600,60000,1600,1200,0.357852,6.007,90,19.8744,36,1,10,1,18,1,107,1,173,0,0,0,152,3,4,0.5,0.5,5,0.5,39,0.034296,1,80,24,40,11,5,28,5.6,38.5391,74.684116,26.624549,60,2.481949,0.043142,0.590229,1,1,13.389728,0.2,0.590229,0.295115,0.295115,0.25,0.590229,0.7,0.054545,0.806897,0.856799,0.211215,0.590229,200,1,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,1,1,8,1,1,1,1,1,1,1,1,1,1,1,1,1,31,1,1,1,1,1,9,9,1,1,1,1,0.384955,2,1,1,1,1,0,0,0,0.220833,1,0.91,1,0.811255,0.043142,0.188745,761.2158,3140,78,48,118,13832.5022,0.076988,0.220241,0,1,0,0,0.2,1,0.45,0.25,0,0,0.790196,0.845295,0.66276,0.737916,0.845295,v5-shortcut-control-v1
dataset-v5,v3,extraction-v2,ranking-aware-v5,seo_weighted_page_quality_v5,78.9474,66.4,пластиковые окна цена Новосибирск,пластиковые окна,commercial,Новосибирск,65,https://oknasravni.ru/novosibirsk,oknasravni.ru,5,0,,,content,ok,,..\dataset-v2\artifacts\query--0222eaf2573869a0.json,083168151740d5137f9ece457a4cb74cbfc92de0,239825,66.4,9600,60000,1600,835,0.389096,5.3048,90,12.3333,3,1,8,2,11,1,71,1,157,0,0,0,134,1,3,0.25,0.5,8,0.5,44,0.062442,1,80,24,30,0,0,2,0,180,58.713886,28,13.979497,0,0.080407,0.573522,1,0.75,17.031746,3.666667,0.573522,0.14338,0.286761,0.125,0.573522,0.6125,0.709091,0.917241,0,0.223155,0.430141,200,1,0,0,1,1,0,0,0,0,1,1,1,0,0,1,0,0,1,0.9,1,1,0.98,0,0,0,1,1,1,1,0,0,1,1,1,1,0,1,1,0,1,0,0,0.4,5,6,0.555556,0.666667,0.540741,1,0.546239,0,0,0,0,0,0,0,0,0,1,0.91,1,0.302857,0.080407,0.697143,182.5322,1436,8,4,292,4700.7458,0.553754,0.577815,0,1,0,0,0.2,1,0.45,0.25,0,0,0.605614,0.621569,0.581877,0.623208,0.621569,v5-shortcut-control-v1
dataset-v5,v3,extraction-v2,ranking-aware-v5,seo_weighted_page_quality_v5,73.6842,68.7,пластиковые окна цена Новосибирск,пластиковые окна,commercial,Новосибирск,65,https://mirokon-nsk.ru/,mirokon-nsk.ru,6,0,,,homepage,ok,,..\dataset-v2\artifacts\query--8b2028d70f2b244b.json,6b80dfa35afe9eb7ebd2b71cb5a9fc334e1170e6,166869,68.7,9600,60000,1445,662,0.458131,5.7702,90,13.7619,13,1,4,0,5,1,52,1,142,0,0,0,69,3,5,0.75,0.75,5,0.75,27,0.047751,1,69,24,39,0,7,49,7,111.1538,47.750865,28,26.989619,0,0.08609,0.540896,1,1,20.942029,0.384615,0.540896,0.405672,0.405672,0.5625,0.521063,0.85,0.945455,0.97931,0.408304,0.19893,0.540896,200,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0.75,0.95,1,3,0,1,0,1,1,1,0,1,1,1,0,0,1,1,0,1,1,1,0.4,6,6,0.666667,0.666667,0.577778,1,0.432588,0,0,0,0,0,0,0,0,0,1,0.91,1,0.624286,0.08609,0.375714,123.3457,892,33,22,52,8883.454,0.376181,0.444636,0,1,0,0,0.2,1,0.45,0.25,0,0,0.670754,0.666903,0.581787,0.686589,0.666903,v5-shortcut-control-v1
dataset-v5,v3,extraction-v2,ranking-aware-v5,seo_weighted_page_quality_v5,68.4211,75.1,пластиковые окна цена Новосибирск,пластиковые окна,commercial,Новосибирск,65,https://oknaveka.com/,oknaveka.com,7,0,,,homepage,ok,,..\dataset-v2\artifacts\query--e0594a8233157b02.json,e30953ab5e5f6c33fc5d4987c5db221eedff5dc3,658774,75.1,9600,60000,1600,761,0.470625,5.6314,90,13.0403,36,2,10,12,18,1,66,1,145,0,0,0,36,2,2,0.5,0.5,14,0.5,9,0.022263,1,61,24,40,0,2,11,5.5,24.5,37.724181,28,56.895485,0,0.01892,0.454892,1,1,26.508197,0.636364,0.454892,0.227446,0.227446,0.25,0.454892,0.7,0.8,1,0.742115,0.192318,0.454892,200,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0.5,1,0.9,1,6,1,1,1,1,1,1,1,1,1,1,0,1,1,2,1,1,1,1,1,9,8,1,0.888889,0.962963,1,0.419795,0,0,0,0,0,0,0,0,0,1,0.91,1,0.63437,0.01892,0.36563,589.3145,1185,13,30,91,11352.3375,0.321397,0.403548,0,1,0,0,0.2,1,0.45,0.25,0,0,0.732717,0.803042,0.592186,0.666982,0.803042,v5-shortcut-control-v1
dataset-v5,v3,extraction-v2,ranking-aware-v5,seo_weighted_page_quality_v5,63.1579,77.8,пластиковые окна цена Новосибирск,пластиковые окна,commercial,Новосибирск,65,https://plastikovye-okna-nsk.ru/,plastikovye-okna-nsk.ru,8,0,,,homepage,ok,,..\dataset-v2\artifacts\query--214b8233dff5dc15.json,502cdf07f4cff8619bdaa7a6e541edb23f1555b3,461506,77.8,9600,60000,1600,1154,0.309466,5.6661,90,12.5556,36,1,10,1,17,1,72,1,164,0,0,0,156,3,4,0.5,0.75,7,0.5,20,0.041834,1,80,24,35,15,6,77,12.833333,13.8625,48.806651,28,9.385894,4.022526,0.078204,0.490726,1,1,20.489011,0.063197,0.490726,0.245363,0.245363,0.25,0.490726,0.7,0.690909,0.868966,0.605524,0.151863,0.490726,200,1,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,1,1,10,1,1,1,1,1,1,1,1,1,1,1,1,1,19,1,1,1,1,1,9,9,1,1,1,1,0.566196,1,4,0,3,0,0,0,1,0.6,1,0.91,1,0.593572,0.078204,0.406428,339.668,2956,30,14,203,9165.4875,0.247809,0.348357,0,1,0,0,0.2,1,0.45,0.25,0,0,0.754002,0.820295,0.611483,0.70396,0.820295,v5-shortcut-control-v1
dataset-v5,v3,extraction-v2,ranking-aware-v5,seo_weighted_page_quality_v5,57.8947,70.7,пластиковые окна цена Новосибирск,пластиковые окна,commercial,Новосибирск,65,https://sitc.ru/novosibirsk/okna/,sitc.ru,9,0,,,content,ok,,..\dataset-v2\artifacts\query--57fa86c19d68f0f1.json,02af474979a33ce17ac57212155ce1eafd50c75d,229616,70.7,9600,60000,1600,669,0.323032,5.8662,79,26.2152,36,1,10,12,18,1,90,1,169,0,0,0,136,2,2,0.5,0.25,21,0.5,11,0.065669,1,80,24,35,24,0,10,0,27.6133,63.737325,28,16.900048,24.625785,0.091426,0.7038,1,0.75,15.689394,1.013333,0.7038,0.3519,0.3519,0.25,0.7038,0.7,0.363636,0.834483,0,0.22735,0.52785,200,1,0,0,1,1,0,0,0,0,1,1,0,1,1,2,0,0,1,0.8,0.5,1,0.86,1,20,0,1,1,0,1,1,1,1,1,1,1,0,1,39,0,1,1,1,0.6,7,8,0.777778,0.888889,0.755556,1,0.647972,5,4,0,3,0,1,0,1,0.75,1,0.91,1,0.534286,0.091426,0.465714,169.4902,2152,26,5,61,5177.2687,0.404898,0.466174,0,1,0,0,0.2,1,0.45,0.25,0,0,0.7144,0.766307,0.643543,0.689243,0.766307,v5-shortcut-control-v1
dataset-v5,v3,extraction-v2,ranking-aware-v5,seo_weighted_page_quality_v5,52.6316,25.1,пластиковые окна цена Новосибирск,пластиковые окна,commercial,Новосибирск,65,https://novosibirsk.lemanapro.ru/catalogue/plastikovye-okna/,novosibirsk.lemanapro.ru,10,0,,,product,ok,,..\dataset-v2\artifacts\query--226ea6d464c6cf9e.json,eac2c475519a30d5984c759c8a96a1ba68d8cc1d,10095,25.1,77,8264,13,13,1,5,1,13,1,1,0,0,1,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,13,76.923077,0,0,0,0.009318,0,0,0,13,1,0,0,0,0,0,0,0.218182,0,0,0,0,403,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,1,0.8,1,0.75,0.71,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,1,0,0.111111,0,0.103704,1,0.536196,0,0,0,0,0,0,0,0,0,1,0.760695,1,0.509236,0.009318,0.490764,8.1094,40,0,2,0,3465.9053,0.97443,0.893323,0,1,0,0,0.2,1,0.45,0.25,0,0,0.089215,0.152335,0.062425,0.188445,0.152335,v5-shortcut-control-v1
dataset-v5,v3,extraction-v2,ranking-aware-v5,seo_weighted_page_quality_v5,100.0,81.9,пластиковые окна цена Казань,пластиковые окна,commercial,Казань,43,https://plastikovye-okna-kazan.ru/,plastikovye-okna-kazan.ru,1,0,,,homepage,ok,,..\dataset-v2\artifacts\query--847c45aa9b176af7.json,b338308d5b3d2a5a7ba32c4d6f8c3064bf6be494,621736,81.9,9600,60000,1600,1200,0.28622,5.7409,90,12.9923,36,1,10,1,18,1,66,1,153,0,0,0,201,3,4,0.5,0.75,7,0.5,21,0.039567,1,80,24,29,16,7,100,14.285714,16.8771,37.598425,28,5.708661,3.149606,0.077958,0.642007,1,1,26.596859,0.066445,0.642007,0.321003,0.321003,0.25,0.642007,0.7,0.8,0.944828,0.681102,0.183756,0.642007,200,1,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,1,1,7,1,1,1,1,1,1,1,1,1,1,1,1,1,19,1,1,1,1,1,9,9,1,1,1,1,0.583843,1,4,0,4,1,0,0,1,0.8,1,0.91,1,0.658932,0.077958,0.341068,469.6465,3636,58,17,216,10641.3638,0.162408,0.284306,0,1,0,0,0.05,1,0.45,0.5,0,0,0.80903,0.858304,0.682441,0.755585,0.858304,v5-shortcut-control-v1
dataset-v5,v3,extraction-v2,ranking-aware-v5,seo_weighted_page_quality_v5,94.7368,69.5,пластиковые окна цена Казань,пластиковые окна,commercial,Казань,43,https://vottakieokna.ru/,vottakieokna.ru,2,0,,,homepage,ok,,..\dataset-v2\artifacts\query--a89d33ce108bba5e.json,62e1882f8ef1c782a716937126a9de04ff1cf9c5,202589,69.5,4262,60000,559,308,0.550984,6.4973,36,15.5278,8,1,10,2,13,1,70,1,189,0,0,0,26,3,4,0.5,0.5,1,0.25,19,0.046512,0.75,80,24,40,0,4,15,3.75,69.875,80,28,60,0,0.025396,0.539865,1,1,4.619835,1.625,0.404899,0.269933,0.134966,0.125,0.20119,0.6,0.727273,0.696552,0.337209,0.092377,0.539865,200,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0.5,1,0.9,1,4,1,1,1,0,1,1,1,1,1,1,0,0,1,5,1,1,1,1,1,7,8,0.777778,0.888889,0.888889,1,0.412408,0,0,0,0,0,0,0,0,0,1,0.91,1,0.811752,0.025396,0.188248,168.9551,709,29,4,54,5268.1159,0.518509,0.551382,0,1,0,0,0.05,1,0.45,0.5,0,0,0.672893,0.76422,0.459753,0.627522,0.76422,v5-shortcut-control-v1
dataset-v5,v3,extraction-v2,ranking-aware-v5,seo_weighted_page_quality_v5,89.4737,73.5,пластиковые окна цена Казань,пластиковые окна,commercial,Казань,43,https://kazan.okna-plastikovyye.ru/,kazan.okna-plastikovyye.ru,3,0,,,homepage,ok,,..\dataset-v2\artifacts\query--6e49de03beea9ca4.json,06e19ff12c383fdaebb6569cde256e74fa78859a,495117,73.5,9600,60000,1600,1090,0.318807,5.8789,90,11.9965,36,1,6,0,7,1,43,1,43,0,0,0,150,0,0,0,0,3,0.25,31,0.043872,1,80,24,40,7,9,145,16.111111,13.0496,66.978649,28,60,2.047382,0.073624,0.307633,1,1,14.930131,0.026718,0.307633,0,0.076908,0,0.307633,0.4625,0.781818,0.296552,0.537584,0.098075,0.307633,200,1,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,27,1,1,1,1,1,9,9,1,1,1,1,0.598148,4,4,0,4,1,1,0,0,0.85,1,0.91,1,0.677895,0.073624,0.322105,350.4961,3066,45,44,146,11715.7195,0.197316,0.310487,0,1,0,0,0.05,1,0.45,0.5,0,0,0.657951,0.751967,0.494331,0.600629,0.751967,v5-shortcut-control-v1
dataset-v5,v3,extraction-v2,ranking-aware-v5,seo_weighted_page_quality_v5,78.9474,59.9,пластиковые окна цена Казань,пластиковые окна,commercial,Казань,43,https://oknazavr.ru/kazan/,oknazavr.ru,5,0,,,content,ok,,..\dataset-v2\artifacts\query--fb4c67301adb69e7.json,b2ad5f22c3a051ef6fea2eeea8362badb9fc4d70,328709,59.9,8436,60000,1230,643,0.522764,5.6407,90,11.1818,36,1,7,5,13,1,74,1,139,0,0,0,54,1,1,0.25,0.25,1,0.25,18,0.043902,0.75,80,24,40,0,2,10,5,15.5696,80,28,60,0,0.032438,0.493187,1,1,4.361702,0.164557,0.36989,0.123297,0.123297,0.0625,0.404413,0.5125,0.654545,0.958621,0.402439,0.176177,0.493187,200,1,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,1,0.9,1,0.75,0.93,1,1,0,1,1,1,1,0,0,0,1,1,1,1,1,1,0,1,1,1,0.6,7,7,0.777778,0.777778,0.718519,1,0.531902,1,1,0,1,1,0,0,0,0.2875,1,0.91,1,0.588082,0.032438,0.411918,262.8135,1822,14,2,82,4945.7796,0.474254,0.51819,0,1,0,0,0.05,1,0.45,0.5,0,0,0.607553,0.691318,0.535721,0.581094,0.691318,v5-shortcut-control-v1
dataset-v5,v3,extraction-v2,ranking-aware-v5,seo_weighted_page_quality_v5,73.6842,76.1,пластиковые окна цена Казань,пластиковые окна,commercial,Казань,43,https://www.okna-rubin.ru/,okna-rubin.ru,6,0,,,homepage,ok,,..\dataset-v2\artifacts\query--213b76308cf9dba4.json,18014cb63c85147779f405d33dbf69a1dd535580,296381,76.1,9600,60000,1432,758,0.52933,6.0796,88,16.2727,30,1,5,7,13,1,62,1,141,0,0,0,53,3,2,0.75,0.5,6,0.5,12,0.037011,1,80,24,40,0,6,53,8.833333,47.7333,80,28,35.614525,0,0.046951,0.374691,1,1,9.610738,0.433333,0.374691,0.281018,0.187345,0.375,0.357705,0.7875,0.872727,0.972414,0.766294,0.157787,0.374691,200,1,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,1,1,4,0,1,1,1,1,1,1,1,0,1,0,0,1,14,1,1,1,1,0.8,8,6,0.888889,0.666667,0.785185,1,0.525823,1,4,0,3,1,0,0,0,0.65,1,0.91,1,0.794591,0.046951,0.205409,225.8115,1913,40,36,47,9010.3492,0.233844,0.337883,0,1,0,0,0.05,1,0.45,0.5,0,0,0.683182,0.759904,0.509713,0.661026,0.759904,v5-shortcut-control-v1
dataset-v5,v3,extraction-v2,ranking-aware-v5,seo_weighted_page_quality_v5,68.4211,60.6,пластиковые окна цена Казань,пластиковые окна,commercial,Казань,43,https://oknamall.ru/,oknamall.ru,7,0,,,homepage,ok,,..\dataset-v2\artifacts\query--879f51f2d174c913.json,c5cf49b872bee3026556de2f37850c7de9b9d788,736316,60.6,9600,60000,1600,987,0.46933,5.9396,90,16.824,24,0,0,0,0,1,65,1,242,0,0,0,47,3,3,0.5,0.5,0,0,3,0.022349,1,54,13,40,12,5,39,7.8,87.625,25.677603,6.181645,27.104137,5.706134,0.022862,0.587052,0.75,1,38.944444,0,0.587052,0.293526,0,0,0.587052,0.5125,0.818182,0.331034,0.744968,0.275521,0.587052,200,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0.5,0,0.7,1,11,0,1,0,0,1,1,1,1,1,1,0,0,1,8,1,1,1,1,0.6,6,6,0.666667,0.666667,0.644444,1,0.353019,0,0,0,0,0,0,0,0,0,1,0.97075,1,0.89998,0.022862,0.10002,663.4551,1565,75,70,13,5807.8636,0.238406,0.341305,0,1,0,0,0.05,1,0.45,0.5,0,0,0.638609,0.647191,0.478636,0.573039,0.647191,v5-shortcut-control-v1
dataset-v5,v3,extraction-v2,ranking-aware-v5,seo_weighted_page_quality_v5,63.1579,78.6,пластиковые окна цена Казань,пластиковые окна,commercial,Казань,43,https://kazan-ihlas.ru/,kazan-ihlas.ru,8,0,,,homepage,ok,,..\dataset-v2\artifacts\query--edac9d16358827dc.json,c39218d5864bafd102f38304c71f3667e5932457,167307,78.6,9600,60000,1540,724,0.47013,5.7831,90,12.5203,30,1,9,12,18,1,68,1,244,0,0,0,104,5,3,0.75,0.5,16,0.75,20,0.067532,1,80,24,40,24,1,2,2,51.3333,80,28,60,16.233766,0.12256,0.627954,1,1,10,0.9,0.627954,0.470966,0.470966,0.5625,0.627954,0.85,0.763636,0.317241,0,0.252577,0.627954,200,1,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,1,1,4,1,1,1,0,1,1,1,1,1,1,1,1,1,17,1,1,1,1,1,8,9,0.888889,1,0.962963,1,0.503583,0,0,0,0,0,0,0,0,0,1,0.91,1,0.431429,0.12256,0.568571,96.5889,978,18,12,79,3558.6463,0.497679,0.535759,0,1,0,0,0.05,1,0.45,0.5,0,0,0.808015,0.86187,0.708561,0.78308,0.86187,v5-shortcut-control-v1
dataset-v5,v3,extraction-v2,ranking-aware-v5,seo_weighted_page_quality_v5,57.8947,78.5,пластиковые окна цена Казань,пластиковые окна,commercial,Казань,43,https://kazan.essokna.ru/,kazan.essokna.ru,9,0,,,homepage,ok,,..\dataset-v2\artifacts\query--6d95cc7ada6edfe0.json,b42f4a4de9bb447a0dd1612dd53fbcc776136a9a,140401,78.5,7057,60000,1011,484,0.478734,5.8042,88,11.4886,12,1,7,12,18,1,51,1,222,0,0,0,64,2,5,0.5,1,11,0.75,25,0.063304,1,80,24,40,10,1,5,5,84.25,80,28,60,9.891197,0.084612,0.567334,1,1,6.924658,2.583333,0.567334,0.283667,0.425501,0.375,0.382383,0.7625,0.927273,0.468966,0,0.15255,0.567334,200,1,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,0,1,0,0,1,10,1,1,1,1,1,8,7,0.888889,0.777778,0.888889,1,0.778884,5,4,0,5,1,1,0,0,0.9,1,0.91,1,0.328571,0.084612,0.671429,92.1396,896,10,4,50,3335.4414,0.628808,0.634106,0,1,0,0,0.05,1,0.45,0.5,0,0,0.771748,0.835048,0.569547,0.737243,0.835048,v5-shortcut-control-v1
dataset-v5,v3,extraction-v2,ranking-aware-v5,seo_weighted_page_quality_v5,52.6316,73.5,пластиковые окна цена Казань,пластиковые окна,commercial,Казань,43,https://kazan.zavod-okna-pvh.ru/,kazan.zavod-okna-pvh.ru,10,0,,,homepage,ok,,..\dataset-v2\artifacts\query--f6bcfc9a7ea51531.json,e6a5729725eb103ec2ca9615ee98e8f8682fa404,388126,73.5,9600,60000,1600,1200,0.377588,6.0034,90,21.2308,36,1,10,0,18,1,82,1,118,0,0,0,151,2,0,0.5,0,9,0.5,20,0.039079,1,80,24,40,0,12,145,12.083333,13.7021,46.583851,28,54.865424,0,0.10797,0.351337,1,1,21.466667,0.06383,0.351337,0.175669,0.175669,0.25,0.351337,0.7,0.509091,0.813793,0.697378,0.132661,0.351337,200,1,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,11,1,1,1,1,1,8,8,0.888889,0.888889,0.925926,1,0.531702,2,2,0,2,1,0,0,0,0.425,1,0.91,1,0.611429,0.10797,0.388571,274.8926,2634,32,7,186,5124.9601,0.320983,0.403237,0,1,0,0,0.05,1,0.45,0.5,0,0,0.683299,0.772773,0.487325,0.646394,0.772773,v5-shortcut-control-v1
dataset-v5,v3,extraction-v2,ranking-aware-v5,seo_weighted_page_quality_v5,100.0,77.0,пластиковые окна цена Краснодар,пластиковые окна,commercial,Краснодар,35,https://okna-zavod-krasnodar.ru/,okna-zavod-krasnodar.ru,1,0,,,homepage,ok,,..\dataset-v2\artifacts\query--fa19e5aa0b03747c.json,ee1550a524de094004b32b73e246947060bab25d,274684,77.0,6774,60000,946,548,0.579281,6.0074,28,33.7857,36,1,8,0,9,1,73,1,176,0,0,0,37,3,3,0.5,0.75,6,0.5,18,0.039112,1,65,24,35,0,1,8,8,9.3663,68.710359,27.484144,36.997886,0,0.028659,0.685243,1,1,14.553846,0.089109,0.685243,0.342622,0.342622,0.25,0.43216,0.7,0.672727,0.786207,0.696265,0.208618,0.685243,200,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0.5,1,0.9,1,3,1,1,1,1,1,1,1,1,0,0,1,0,1,10,1,1,1,1,1,8,7,0.888889,0.777778,0.888889,1,0.511247,0,0,0,0,0,0,0,0,0,1,0.9415,1,0.488901,0.028659,0.511099,237.1133,829,5,24,26,3607.1101,0.573184,0.592388,0,1,0,0,0.2,1,0.45,0.25,0,0,0.796507,0.848417,0.600929,0.735589,0.848417,v5-shortcut-control-v1
dataset-v5,v3,extraction-v2,ranking-aware-v5,seo_weighted_page_quality_v5,94.7368,68.8,пластиковые окна цена Краснодар,пластиковые окна,commercial,Краснодар,35,https://oknazavr.ru/krasnodar/plastikovye-okna/,oknazavr.ru,2,0,,,content,ok,,..\dataset-v2\artifacts\query--392a7aaef1cef109.json,354ac34687c19e967a24b0aa73f111d4456a40f4,814206,68.8,9600,60000,1600,814,0.381086,5.507,90,14.8333,36,1,10,10,18,1,85,1,162,0,0,0,105,4,0,0.5,0,6,0.75,21,0.049157,1,80,24,40,0,3,90,30,7.7391,80,28,60,0,0.02059,0.642572,1,1,5.820163,0.07971,0.642572,0.321286,0.481929,0.375,0.642572,0.7625,0.454545,0.882759,0.361423,0.244875,0.642572,200,1,0,0,0,0,1,0,0,0,1,1,1,0,0,2,0,0,1,0.8,1,0.75,0.91,1,1,0,1,1,1,1,0,0,0,1,1,1,1,1,1,0,1,1,1,0.6,7,7,0.777778,0.777778,0.718519,1,0.550968,2,2,0,2,1,1,0,0,0.575,1,0.91,1,0.665632,0.02059,0.334368,704.2148,3645,16,6,223,6733.3083,0.296008,0.384506,0,1,0,0,0.2,1,0.45,0.25,0,0,0.732255,0.779591,0.693046,0.712336,0.779591,v5-shortcut-control-v1
dataset-v5,v3,extraction-v2,ranking-aware-v5,seo_weighted_page_quality_v5,89.4737,80.4,пластиковые окна цена Краснодар,пластиковые окна,commercial,Краснодар,35,https://krasnodar.delaem-okna.ru/,krasnodar.delaem-okna.ru,3,0,,,homepage,ok,,..\dataset-v2\artifacts\query--e2c5f842c84f8d15.json,e4a2288448b6d07d2bf98031d5662f8eefd7f00f,831850,80.4,9600,60000,1600,1005,0.365587,6.1448,90,18.2053,36,1,10,2,18,1,84,1,298,0,0,0,204,3,5,0.75,0.5,6,0.5,52,0.074209,1,80,24,40,7,2,16,8,38.7183,80,28,30.556566,2.546381,0.028565,0.626654,1,1,9.13289,0.309859,0.626654,0.469991,0.313327,0.375,0.626654,0.7875,0.472727,0,0,0.229097,0.626654,200,1,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,37,1,1,1,1,1,9,8,1,0.888889,0.962963,1,0.471878,6,3,3,3,0,1,0,0,0.3625,1,0.91,1,0.682172,0.028565,0.317828,703.6123,3132,20,19,135,7556.9705,0.179578,0.297183,0,1,0,0,0.2,1,0.45,0.25,0,0,0.817195,0.865572,0.694819,0.774095,0.865572,v5-shortcut-control-v1
dataset-v5,v3,extraction-v2,ranking-aware-v5,seo_weighted_page_quality_v5,84.2105,74.3,пластиковые окна цена Краснодар,пластиковые окна,commercial,Краснодар,35,https://krasnodar.okna-tseny.ru/,krasnodar.okna-tseny.ru,4,0,,,homepage,ok,,..\dataset-v2\artifacts\query--8ad40cd2115c4ef3.json,0cd81315d375bc4f92557efae709b3470e67e6b6,386022,74.3,9600,60000,1600,1042,0.322102,4.9629,90,10.7833,9,1,10,5,18,1,59,1,133,0,0,0,165,2,3,0.5,0.75,21,0.75,29,0.051005,1,80,24,40,3,20,140,7,180,49.768161,28,21.329212,0.927357,0.073834,0.632688,1,1,20.093168,2.444444,0.632688,0.316344,0.474516,0.375,0.632688,0.7625,0.927273,0.917241,0.299845,0.20379,0.632688,200,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0.75,0.95,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,26,1,1,1,1,1,8,9,0.888889,1,0.962963,1,0.396298,0,0,0,0,0,0,0,0,0,1,0.91,1,0.676976,0.073834,0.323024,288.8066,2522,57,12,188,10043.4738,0.252889,0.352167,0,1,0,0,0.2,1,0.45,0.25,0,0,0.791885,0.847833,0.626955,0.74864,0.847833,v5-shortcut-control-v1
