query,category,intent,city,region_code,url,domain,rank,serp_page,title,snippet,page_type,fetch_status,fetch_error,target_score,text_length_chars,html_length_chars,word_count,unique_word_count,unique_word_ratio,avg_word_length,sentence_count,avg_sentence_length,paragraph_count,h1_count,h2_count,h3_count,heading_count,title_present,title_length,meta_description_present,meta_description_length,query_in_title,query_in_text,exact_query_count,query_term_count,title_query_term_count,meta_query_term_count,title_keyword_coverage_ratio,meta_keyword_coverage_ratio,query_terms_in_headings,heading_query_coverage_ratio,first_200_words_query_term_count,query_density,keyword_coverage_ratio,link_count,image_count,list_item_count,strong_tag_count,form_count,input_count,inputs_per_form_ratio,avg_paragraph_length,link_density_per_1000_words,image_density_per_1000_words,list_density_per_1000_words,strong_density_per_1000_words,text_to_html_ratio,semantic_similarity,early_query_coverage_ratio,conversion_signal_score,content_link_ratio,heading_paragraph_balance,query_semantic_alignment,title_semantic_alignment,heading_semantic_alignment,title_heading_keyword_alignment,content_depth_semantic_score,query_prominence_score,title_length_quality,meta_length_quality,keyword_balance_score,semantic_content_richness,cta_semantic_score
пластиковые окна Нижний Новгород,пластиковые окна,commercial,Нижний Новгород,47,https://schtandart-nn.ru/,schtandart-nn.ru,7,0,,,homepage,ok,,33.3333,16109.0,804440.0,2268.0,915.0,0.40343915343915343,5.9621,102.0,22.2353,1.0,1.0,1.0,1.0,3.0,1.0,97.0,1.0,255.0,0.0,0.0,0.0,30.0,2.0,2.0,0.5,0.5,4.0,0.5,5.0,0.013228,1.0,102.0,65.0,168.0,67.0,6.0,155.0,25.833333,2268.0,44.973545,28.659612,74.074074,29.541446,0.020025,0.55177,1.0,1.0,22.235294,3.0,0.55177,0.275885,0.275885,0.25,0.55177,0.7,0.236364,0.241379,0.440917,0.222606,0.55177
пластиковые окна Нижний Новгород,пластиковые окна,commercial,Нижний Новгород,47,https://prizma-okna.ru/,prizma-okna.ru,8,0,,,homepage,ok,,22.2222,10061.0,460835.0,1350.0,600.0,0.4444444444444444,6.2533,118.0,11.4407,186.0,1.0,0.0,0.0,1.0,1.0,41.0,1.0,112.0,0.0,0.0,0.0,49.0,4.0,2.0,1.0,0.5,0.0,0.0,12.0,0.036296,1.0,142.0,54.0,48.0,29.0,3.0,22.0,7.333333,7.2581,105.185185,40.0,35.555556,21.481481,0.021832,0.579156,1.0,1.0,9.507042,0.005376,0.579156,0.579156,0.0,0.0,0.52124,0.75,0.745455,0.772414,0.790123,0.193052,0.579156
пластиковые окна Нижний Новгород,пластиковые окна,commercial,Нижний Новгород,47,https://oknafocus.ru/,oknafocus.ru,9,0,,,homepage,ok,,11.1111,3449.0,288225.0,512.0,280.0,0.546875,5.4746,42.0,12.1905,4.0,1.0,9.0,16.0,26.0,1.0,63.0,1.0,230.0,0.0,0.0,0.0,11.0,3.0,0.0,0.5,0.0,6.0,1.0,8.0,0.021484,1.0,46.0,67.0,0.0,0.0,5.0,10.0,2.0,128.0,89.84375,130.859375,0.0,0.0,0.011966,0.433898,1.0,0.75,11.130435,6.5,0.433898,0.216949,0.433898,0.5,0.148104,0.825,0.854545,0.413793,0.716146,0.067495,0.325423
пластиковые окна Нижний Новгород,пластиковые окна,commercial,Нижний Новгород,47,https://nn.zavod-okna-pvh.ru/,nn.zavod-okna-pvh.ru,10,0,,,homepage,ok,,0.0,30077.0,271972.0,4148.0,1555.0,0.3748794599807136,6.0728,222.0,18.6847,250.0,1.0,17.0,0.0,18.0,1.0,92.0,1.0,128.0,0.0,0.0,0.0,128.0,2.0,0.0,0.5,0.0,11.0,0.5,21.0,0.030858,1.0,193.0,191.0,197.0,0.0,12.0,147.0,12.25,16.592,46.528447,46.046287,47.492768,0.0,0.110589,0.56629,1.0,1.0,21.492228,0.072,0.56629,0.283145,0.283145,0.25,0.56629,0.7,0.327273,0.882759,0.971392,0.21229,0.56629
входные двери Москва,входные двери,commercial,Москва,213,https://guardian.ru/,guardian.ru,2,0,,,homepage,ok,,88.8889,28576.0,187383.0,3889.0,1076.0,0.27667780920545126,6.2139,192.0,20.2552,247.0,1.0,10.0,26.0,37.0,1.0,77.0,1.0,197.0,0.0,0.0,0.0,145.0,3.0,2.0,0.666667,0.666667,13.0,0.666667,22.0,0.037285,1.0,306.0,103.0,163.0,5.0,0.0,0.0,0.0,15.7449,78.683466,26.484958,41.913088,1.285678,0.1525,0.709779,1.0,0.5,12.70915,0.149798,0.709779,0.473186,0.473186,0.444444,0.709779,0.8,0.6,0.641379,0.757178,0.19638,0.35489
входные двери Москва,входные двери,commercial,Москва,213,https://mosdvery.ru/categories/vkhodnye-dveri,mosdvery.ru,3,0,,,content,ok,,77.7778,41893.0,1405290.0,5869.0,1733.0,0.295280286249787,5.9535,318.0,18.456,28.0,1.0,13.0,0.0,14.0,1.0,53.0,1.0,176.0,0.0,0.0,0.0,153.0,2.0,2.0,0.666667,0.666667,5.0,0.666667,34.0,0.026069,1.0,527.0,172.0,76.0,20.0,107.0,298.0,2.785047,209.6071,89.793832,29.306526,12.949395,3.407736,0.029811,0.760021,1.0,1.0,11.136622,0.5,0.760021,0.506681,0.506681,0.444444,0.760021,0.8,0.963636,0.786207,0.868973,0.224419,0.760021
входные двери Москва,входные двери,commercial,Москва,213,https://169.ru/vhodnye-dveri/,169.ru,4,0,,,content,ok,,66.6667,21665.0,793445.0,3462.0,790.0,0.22819179664933564,5.1043,51.0,67.8824,3.0,1.0,1.0,0.0,2.0,1.0,57.0,1.0,237.0,0.0,0.0,0.0,108.0,2.0,0.0,0.666667,0.0,2.0,0.666667,49.0,0.031196,1.0,450.0,181.0,259.0,4.0,6.0,333.0,55.5,1154.0,129.982669,52.281918,74.812247,1.155402,0.027305,0.71284,1.0,1.0,7.693333,0.666667,0.71284,0.475227,0.475227,0.444444,0.71284,0.8,0.963636,0.365517,0.960139,0.162664,0.71284
входные двери Москва,входные двери,commercial,Москва,213,https://dozor-dveri.ru/,dozor-dveri.ru,5,0,,,homepage,ok,,55.5556,10614.0,242555.0,1616.0,660.0,0.4084158415841584,5.4202,98.0,16.4898,5.0,1.0,9.0,5.0,15.0,1.0,63.0,1.0,137.0,0.0,0.0,0.0,58.0,2.0,1.0,0.666667,0.333333,7.0,0.666667,15.0,0.035891,1.0,141.0,75.0,224.0,0.0,2.0,2.0,1.0,323.2,87.252475,46.410891,138.613861,0.0,0.043759,0.728498,1.0,1.0,11.460993,3.0,0.728498,0.485665,0.485665,0.444444,0.728498,0.8,0.854545,0.944828,0.80363,0.267116,0.728498
входные двери Москва,входные двери,commercial,Москва,213,https://dveri-komandor.ru/,dveri-komandor.ru,6,0,,,homepage,ok,,44.4444,22143.0,658248.0,3190.0,1447.0,0.4536050156739812,5.7611,234.0,13.6325,60.0,1.0,4.0,7.0,12.0,1.0,115.0,1.0,253.0,0.0,0.0,0.0,84.0,2.0,2.0,0.666667,0.666667,4.0,0.666667,10.0,0.026332,1.0,509.0,622.0,167.0,4.0,2.0,157.0,78.5,53.1667,159.561129,194.984326,52.351097,1.253918,0.033639,0.654986,1.0,1.0,6.267191,0.2,0.654986,0.436657,0.436657,0.444444,0.654986,0.8,0.0,0.255172,0.877743,0.297105,0.654986
входные двери Москва,входные двери,commercial,Москва,213,https://onixdoor.ru/,onixdoor.ru,7,0,,,homepage,ok,,33.3333,20722.0,328396.0,3293.0,869.0,0.2638931065897358,5.0125,111.0,29.6667,137.0,1.0,9.0,15.0,25.0,1.0,76.0,1.0,112.0,0.0,0.0,0.0,95.0,2.0,2.0,0.666667,0.666667,13.0,0.666667,19.0,0.028849,1.0,291.0,177.0,252.0,0.0,1.0,147.0,147.0,24.0365,88.369268,53.75038,76.525964,0.0,0.063101,0.635239,1.0,1.0,11.316151,0.182482,0.635239,0.423493,0.423493,0.444444,0.635239,0.8,0.618182,0.772414,0.961636,0.167635,0.635239
